StaticAnalyzerTool	ErrorMsg	ErrorType	ErrorCertainty	FilePath	FileName	LineNumber	ErrorCount	
FxCop	Sign 'StaticAnalyzerTool.exe' with a strong name key.	Name="NoStrongName"	Certainty="95"					
FxCop	Mark 'StaticAnalyzerTool.exe' with CLSCompliant(true) because it exposes externally visible types.		Certainty="95"					
FxCop	'CoverityAnalyzer' is an internal class that is apparently never instantiated. If so, remove the code from the assembly. If this class is intended to contain only static methods, consider adding a private constructor to prevent the compiler from generating a default constructor.		Certainty="75"					
FxCop	Modify 'FxCopAnalyzer.ProcessOutput()' to catch a more specific exception than 'Exception' or rethrow the exception.		Certainty="95"	Path="C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool"	File="FxCopAnalyzer.cs"	Line="43"		
FxCop	'FxCopAnalyzer.PropertyName.get()' appears to have no upstream public or protected callers.		Certainty="75"	Path="C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool"	File="FxCopAnalyzer.cs"	Line="13"		
FxCop	Because the behavior of 'string.Format(string, params object[])' could vary based on the current user's locale settings, replace this call in 'FxCopReport.GenerateFxCopReport(string)' with a call to 'string.Format(IFormatProvider, string, params object[])'. If the result of 'string.Format(IFormatProvider, string, params object[])' will be displayed to the user, specify 'CultureInfo.CurrentCulture' as the 'IFormatProvider' parameter. Otherwise, if the result will be stored and accessed by software, such as when it is persisted to disk or to a database, specify 'CultureInfo.InvariantCulture'.	Name="IFormatProviderAlternateString"	Certainty="95"	Path="C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool"	File="FxCopReport.cs"	Line="52"		
FxCop	'NDependAnalyzer' is an internal class that is apparently never instantiated. If so, remove the code from the assembly. If this class is intended to contain only static methods, consider adding a private constructor to prevent the compiler from generating a default constructor.		Certainty="75"					
FxCop	Modify 'NDependAnalyzer.ProcessOutput()' to catch a more specific exception than 'Exception' or rethrow the exception.		Certainty="95"	Path="C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool"	File="NDependAnalyzer.cs"	Line="31"		
FxCop	Modify 'NDependXmlReport.GenerateNDependReport(string)' to catch a more specific exception than 'Exception' or rethrow the exception.		Certainty="95"	Path="C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool"	File="NDependXmlReport.cs"	Line="93"		
FxCop	In method 'NDependXmlReport.GenerateNDependReport(string)', correct the spelling of 'n' in parameter name 'nDependXmlOutputPath' or remove it entirely if it represents any sort of Hungarian notation.	Name="MemberParameter"	Certainty="75"	Path="C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool"	File="NDependXmlReport.cs"	Line="12"		
FxCop	Because the behavior of 'string.Format(string, object, object)' could vary based on the current user's locale settings, replace this call in 'NDependXmlReport.GenerateNDependReport(string)' with a call to 'string.Format(IFormatProvider, string, params object[])'. If the result of 'string.Format(IFormatProvider, string, params object[])' will be displayed to the user, specify 'CultureInfo.CurrentCulture' as the 'IFormatProvider' parameter. Otherwise, if the result will be stored and accessed by software, such as when it is persisted to disk or to a database, specify 'CultureInfo.InvariantCulture'.	Name="IFormatProviderAlternateString"	Certainty="95"	Path="C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool"	File="NDependXmlReport.cs"	Line="73"		
FxCop	Parameter 'args' of 'Program.Main(string[])' is never used. Remove the parameter or use it in the method body.		Certainty="95"	Path="C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool"	File="Program.cs"	Line="16"		
FxCop	Modify 'XmlParser.XmlParse(string, string)' to catch a more specific exception than 'Exception' or rethrow the exception.		Certainty="95"	Path="C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool"	File="XmlParser.cs"	Line="27"		
FxCop	Modify 'XmlWriter.EditSolutionName(string, string, string, string)' to catch a more specific exception than 'Exception' or rethrow the exception.		Certainty="95"	Path="C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool"	File="XmlWriter.cs"	Line="24"		
FxCop	In member 'XmlWriter.EditSolutionName(string, string, string, string)', correct the casing of 'Attribute' in parameter name 'AttributeName' by changing it to 'attribute'.	Name="MemberParameter"	Certainty="85"	Path="C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool"	File="XmlWriter.cs"	Line="13"		
FxCop	In member 'XmlWriter.EditSolutionName(string, string, string, string)', correct the casing of 'Element' in parameter name 'ElementName' by changing it to 'element'.	Name="MemberParameter"	Certainty="85"	Path="C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool"	File="XmlWriter.cs"	Line="13"		
FxCop	In member 'XmlWriter.EditSolutionName(string, string, string, string)', correct the casing of 'Solution' in parameter name 'SolutionPath' by changing it to 'solution'.	Name="MemberParameter"	Certainty="85"	Path="C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool"	File="XmlWriter.cs"	Line="13"		
FxCop	In member 'XmlWriter.EditSolutionName(string, string, string, string)', correct the casing of 'Xml' in parameter name 'XmlPath' by changing it to 'xml'.	Name="MemberParameter"	Certainty="85"	Path="C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool"	File="XmlWriter.cs"	Line="13"		
