TimeStamp	StaticAnalyzerTool	ErrorMsg	ErrorType	ErrorCertainty	FilePath	FileName	LineNumber	ErrorCount	
2019-09-19 11:25:36 AM	FxCop	Sign 'StaticAnalyzerTool.exe' with a strong name key.	NoStrongName	95	NA	NA	NA		
2019-09-19 11:25:36 AM	FxCop	Mark 'StaticAnalyzerTool.exe' with CLSCompliant(true) because it exposes externally visible types.	NA	95	NA	NA	NA		
2019-09-19 11:25:36 AM	FxCop	'CoverityAnalyzer' is an internal class that is apparently never instantiated. If so, remove the code from the assembly. If this class is intended to contain only static methods, consider adding a private constructor to prevent the compiler from generating a default constructor.	NA	75	NA	NA	NA		
2019-09-19 11:25:36 AM	FxCop	Modify 'FxCopAnalyzer.ProcessOutput()' to catch a more specific exception than 'Exception' or rethrow the exception.	NA	95	C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool	FxCopAnalyzer.cs	43		
2019-09-19 11:25:36 AM	FxCop	'FxCopAnalyzer.PropertyName.get()' appears to have no upstream public or protected callers.	NA	75	C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool	FxCopAnalyzer.cs	13		
2019-09-19 11:25:36 AM	FxCop	Because the behavior of 'string.Format(string, params object[])' could vary based on the current user's locale settings, replace this call in 'FxCopReport.GenerateFxCopReport(string)' with a call to 'string.Format(IFormatProvider, string, params object[])'. If the result of 'string.Format(IFormatProvider, string, params object[])' will be displayed to the user, specify 'CultureInfo.CurrentCulture' as the 'IFormatProvider' parameter. Otherwise, if the result will be stored and accessed by software, such as when it is persisted to disk or to a database, specify 'CultureInfo.InvariantCulture'.	IFormatProviderAlternateString	95	C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool	FxCopReport.cs	52		
2019-09-19 11:25:36 AM	FxCop	'NDependAnalyzer' is an internal class that is apparently never instantiated. If so, remove the code from the assembly. If this class is intended to contain only static methods, consider adding a private constructor to prevent the compiler from generating a default constructor.	NA	75	NA	NA	NA		
2019-09-19 11:25:36 AM	FxCop	Modify 'NDependAnalyzer.ProcessOutput()' to catch a more specific exception than 'Exception' or rethrow the exception.	NA	95	C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool	NDependAnalyzer.cs	31		
2019-09-19 11:25:36 AM	FxCop	Modify 'NDependXmlReport.GenerateNDependReport(string)' to catch a more specific exception than 'Exception' or rethrow the exception.	NA	95	C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool	NDependXmlReport.cs	93		
2019-09-19 11:25:36 AM	FxCop	In method 'NDependXmlReport.GenerateNDependReport(string)', correct the spelling of 'n' in parameter name 'nDependXmlOutputPath' or remove it entirely if it represents any sort of Hungarian notation.	MemberParameter	75	C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool	NDependXmlReport.cs	12		
2019-09-19 11:25:36 AM	FxCop	Because the behavior of 'string.Format(string, object, object)' could vary based on the current user's locale settings, replace this call in 'NDependXmlReport.GenerateNDependReport(string)' with a call to 'string.Format(IFormatProvider, string, params object[])'. If the result of 'string.Format(IFormatProvider, string, params object[])' will be displayed to the user, specify 'CultureInfo.CurrentCulture' as the 'IFormatProvider' parameter. Otherwise, if the result will be stored and accessed by software, such as when it is persisted to disk or to a database, specify 'CultureInfo.InvariantCulture'.	IFormatProviderAlternateString	95	C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool	NDependXmlReport.cs	73		
2019-09-19 11:25:36 AM	FxCop	Parameter 'args' of 'Program.Main(string[])' is never used. Remove the parameter or use it in the method body.	NA	95	C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool	Program.cs	16		
2019-09-19 11:25:36 AM	FxCop	Modify 'XmlParser.XmlParse(string, string)' to catch a more specific exception than 'Exception' or rethrow the exception.	NA	95	C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool	XmlParser.cs	27		
2019-09-19 11:25:36 AM	FxCop	Modify 'XmlWriter.EditSolutionName(string, string, string, string)' to catch a more specific exception than 'Exception' or rethrow the exception.	NA	95	C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool	XmlWriter.cs	24		
2019-09-19 11:25:36 AM	FxCop	In member 'XmlWriter.EditSolutionName(string, string, string, string)', correct the casing of 'Attribute' in parameter name 'AttributeName' by changing it to 'attribute'.	MemberParameter	85	C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool	XmlWriter.cs	13		
2019-09-19 11:25:36 AM	FxCop	In member 'XmlWriter.EditSolutionName(string, string, string, string)', correct the casing of 'Element' in parameter name 'ElementName' by changing it to 'element'.	MemberParameter	85	C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool	XmlWriter.cs	13		
2019-09-19 11:25:36 AM	FxCop	In member 'XmlWriter.EditSolutionName(string, string, string, string)', correct the casing of 'Solution' in parameter name 'SolutionPath' by changing it to 'solution'.	MemberParameter	85	C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool	XmlWriter.cs	13		
2019-09-19 11:25:36 AM	FxCop	In member 'XmlWriter.EditSolutionName(string, string, string, string)', correct the casing of 'Xml' in parameter name 'XmlPath' by changing it to 'xml'.	MemberParameter	85	C:\Users\320050765\StaticAnalysisTool\StaticAnalyzerTool\StaticAnalyzerTool	XmlWriter.cs	13		
2019-09-19 11:25:36 AM	NDepend	# New Issues since Baseline	NA	NA	NA	NA	NA	0	
2019-09-19 11:25:36 AM	NDepend	# Issues Fixed since Baseline	NA	NA	NA	NA	NA	0	
2019-09-19 11:25:36 AM	NDepend	# Issues Worsened since Baseline	NA	NA	NA	NA	NA	0	
2019-09-19 11:25:36 AM	NDepend	# Issues with severity Blocker	NA	NA	NA	NA	NA	0	
2019-09-19 11:25:36 AM	NDepend	# Issues with severity Critical	NA	NA	NA	NA	NA	0	
2019-09-19 11:25:36 AM	NDepend	# Issues with severity High	NA	NA	NA	NA	NA	5	
2019-09-19 11:25:36 AM	NDepend	# Issues with severity Medium	NA	NA	NA	NA	NA	15	
2019-09-19 11:25:36 AM	NDepend	# Issues with severity Low	NA	NA	NA	NA	NA	5	
2019-09-19 11:25:36 AM	NDepend	# Blocker/Critical/High Issues	NA	NA	NA	NA	NA	5	
2019-09-19 11:25:36 AM	NDepend	# Issues	NA	NA	NA	NA	NA	25	
2019-09-19 11:25:36 AM	NDepend	# Suppressed Issues	NA	NA	NA	NA	NA	0	
2019-09-19 11:25:36 AM	NDepend	# Rules	NA	NA	NA	NA	NA	152	
2019-09-19 11:25:36 AM	NDepend	# Rules Violated	NA	NA	NA	NA	NA	14	
2019-09-19 11:25:36 AM	NDepend	# Critical Rules Violated	NA	NA	NA	NA	NA	1	
2019-09-19 11:25:36 AM	NDepend	# Quality Gates	NA	NA	NA	NA	NA	11	
2019-09-19 11:25:36 AM	NDepend	# Quality Gates Warn	NA	NA	NA	NA	NA	0	
